claim,metric,value,method,confidence
Data quality,Duplicate Application IDs,8/350 rows share 4 IDs (APP-00001/5/7/10); the rows are different applications,scripts/audit.py A5,High
Data quality,Duplicate candidate records (same name and phone; different email),12/300 rows = 6 people; 2 pairs carry conflicting Source; 3 of the 12 rows hold a hire,scripts/audit.py A8-A11,High
Data quality,Same candidate applied to same opening more than once,6/350 applications,scripts/audit.py A12,High
Data quality,Referred applications whose candidate Source is not Referral,24/27 (Job Board 17; Agency 4; Career Site 3),scripts/audit.py F10,High
Data quality,Source=Referral candidates with no Referred By link,5/8,scripts/audit.py F11,High
Data quality,Active applications on openings that are not Open,66/105 (Filled 55; On Hold 7; Cancelled 4),scripts/audit.py F7,High
Data quality,Active applications idle more than 30 days since last milestone,102/105 (idle over 90 days: 68/105),scripts/claims.py Funnel,High
Data quality,Opening status disagrees with hires,4/24 openings over headcount; 2/8 Filled openings with 0 hires; 6/16 non-Filled openings already at headcount; 4/26 hires sit on Cancelled openings,scripts/audit.py F4-F6 and claims.py 1d,High
Data quality,Rejection Reason=Position Cancelled on an opening that is not Cancelled,18/18,scripts/audit.py F8,High
Data quality,Rejection Reason present on a Hired / Offer / Interview application,4/350 (APP-00001/2/4/8); plus 14 Withdrawn rows using the field for 'Withdrew',scripts/audit.py C2,High
Data quality,Offer Base CTC outside the opening's salary band,7/36,scripts/audit.py D5,High
Data quality,Offer Base CTC below candidate's Current CTC,13/36,scripts/audit.py D6,Medium - may be legitimate if CTC fields are self-reported or include variable pay
Data quality,Candidate Expected CTC below Current CTC,4/300 (CAND-00001 to 00004),scripts/audit.py D3,High
Data quality,Candidate Created On later than first Applied On,84/300; median gap 103 days; max 345,scripts/audit.py E3,High on the count; cause unknown (backfill or import date)
Data quality,Interview dates inconsistent,Completed before scheduled 4/142; scheduled before application 9/160; application First Interview On differs from earliest interview 13/143,scripts/audit.py E4-E6,High
Data quality,Offer date inconsistencies,Offered On differs between Offer and Application 3/36; Proposed Start before Offered On 3/36,scripts/audit.py E7 and E9,High
Data quality,Applied On earlier than the opening's Opened On,3/350,scripts/audit.py E2,High
Data quality,Not-completed interviews that carry a score or recommendation,4/22,scripts/audit.py C13,High
Data quality,Offers where every recorded interview recommendation was No Hire or Strong No Hire,8/36 = 22.2%; each of the 8 rests on 1 interview; their offers: 5 accepted; 1 declined; 2 pending; 3 of the 36 offered applications have no recorded recommendation at all (a missing recommendation is not counted as a no); 10/36 = 27.8% of offers have at least one No Hire; 9 closed applications had only Hire or Strong Hire recommendations and no offer,scripts/audit.py F14 and scripts/roadmap_numbers.py Not building 3,Medium - cannot tell an incomplete interview record from a process that lets this happen
Data quality,Application Recruiter differs from opening Recruiter,4/350,scripts/audit.py B12,High
Data quality,Checks that passed,46 of 77 checks clean: all links resolve (0 broken across 11 link fields); milestone dates in order 350/350; Hired = Accepted offer 26/26; no test records; no future dates,scripts/audit.py summary,High
Funnel,Stage conversion,350 applied -> 279 screened (79.7%) -> 143 interviewed (51.3%) -> 36 offered (25.2%) -> 26 hired (72.2%),scripts/claims.py Funnel,Medium - inherits duplicate and stale-status problems
Funnel,Median days apply to hire,40 days (n=26; p90 55),scripts/claims.py Funnel,Medium
Funnel,Interviews not completed,22/160 = 13.8% (No Show 10; Cancelled 7; Rescheduled 5),scripts/claims.py Funnel,High
Source scenarios,S0 as recorded - apps / hires,"Job Board 236/7 (3.0%), Referral 13/7 (53.8%), Other 101/12 (11.9%); total 350/26",scripts/source_scenarios.py S0; independently recomputed by scripts/verify_sources.py - exact match,High on the arithmetic; Medium on the labels
Source scenarios,S1 referral evidence - apps / hires,"Job Board 219/6 (2.7%), Referral 37/10 (27.0%), Other 94/10 (10.6%); total 350/26",scripts/source_scenarios.py S1; verified - exact match,Medium - rule can only grow Referral
Source scenarios,S3 de-duplicated + referral evidence - apps / hires,"Job Board 217/6 (2.8%), Referral 36/9 (25.0%), Other 94/10 (10.6%); total 347/25",scripts/source_scenarios.py S3; verified - exact match,Medium - best single estimate; 6 of the 9 Referral hires have no referrer recorded
Source scenarios,S4 strict (hires on Cancelled openings excluded) - apps / hires,"Job Board 217/4 (1.8%), Referral 36/7 (19.4%), Other 94/10 (10.6%); total 347/21",scripts/source_scenarios.py S4; verified - exact match,Medium
Source scenarios,Job Board range across all scenarios,217-236 applications (62.5-67.4%); 4-7 hires (19.0-28.0% of hires); 1.8-3.0% hires per application,scripts/source_scenarios.py S0-S4,High - lowest-converting group in every scenario
Source scenarios,People level as recorded / with referral evidence,"P0: Job Board 185/7, Referral 8/5, Other 101/12; P1: Job Board 174/6, Referral 26/8, Other 94/10; 294 people, 24 hired",scripts/source_scenarios.py Part 2; verified - exact match,Medium
Referral identification,Applications where Source and Referred By disagree,34/350 = 9.7% (Source=Referral with no referrer: 10 apps / 5 candidates / 7 hires; referrer present but Source not Referral: 24 apps / 18 candidates / 3 hires),scripts/source_scenarios.py Part 3; verified - exact match,High
Referral identification,Applications where both referral signals agree,3/350 applications; 3 candidates; 0 hires,scripts/source_scenarios.py Part 3 cell A; verified - exact match,High
Referral identification,Hires carrying an inconsistent referral signal,10/26 = 38.5% of hires; 10/10 of hires with any referral signal,scripts/source_scenarios.py Part 3; verified - exact match,High
Referral identification,Notes field as a referral signal,38 candidates noted 'Referred internally' but only 4 have any structured referral signal; 'Applied to two openings' note true for 2/33,scripts/source_scenarios.py Part 3; verified - exact match,High that Notes cannot be used as evidence
Source scenarios,S3 combined - Job Board vs all non-Job-Board hires per application,Job Board 6/217 = 2.8% (95% CI 1.3-5.9%) vs non-Job-Board 19/130 = 14.6% (95% CI 9.6-21.7%); non-Job-Board converts at 5.3x Job Board,scripts/source_scenarios.py S3 Non-JB lines,Medium-high - best estimate; intervals do not overlap
Source scenarios,All non-Job-Board range and interval overlap across all scenarios,113-131 applications; 17-20 hires; 13.1-16.7% hires per application; 5.3x to 7.1x Job Board; Job Board interval never above 6.0% and non-Job-Board interval never below 8.3%; no overlap in any of the 5 scenarios,scripts/source_scenarios.py S0-S4 Non-JB lines,High on direction
Referral identification,Applications with any referral signal whose two signals contradict each other,34/37 = 91.9% (37 of 350 applications carry a referral signal),scripts/source_scenarios.py Part 3; components verified by scripts/verify_sources.py,High
Metric spec,Parameters chosen for the offer acceptance rate spec,window of 365 days from the as-of date minus 364 days to the as-of date; Pending offer becomes Unresolved after 30 days; alert at 20 days; percentage needs at least 20 decided offers; 95% Wilson interval with z = 1.96 and no continuity correction; rounded half up to 1 decimal; steps run in the order 1 to 4,PM design decision based on: decided offers take max 20 days; largest quarter has 12 decided offers,Design choice - not a measurement
Metric spec,Spec run on the real Offers table as of the pull date,83.9% (26 of 31); 95% interval 67.4% to 92.9%; pending 0; unresolved 1 (OFF-00021); broken 4 (pending with a decision date); 5 offers on the fix list; ambiguous range 72.2% to 86.1%,scripts/metric_spec.py section A,High
Metric spec,Decided offers per calendar quarter of Offers.Offered On,2025-Q4 8; 2026-Q1 5; 2026-Q2 12; 2026-Q3 6; largest quarter 12,scripts/metric_spec.py Quarterly view,High
Metric spec,Rate if computed from Applications.Stage instead of Offers.Status,26/36 = 72.2% (Stage=Hired over applications with an offer) - same figure as the VP's,scripts/metric_spec.py section A,High
Metric spec,Offered On differs between Offers and Applications,"3/36 offers; gaps of 5, 7 and 11 days",scripts/metric_spec.py section A,High
Metric spec,Offers by status of their opening,Cancelled 6/36 (4 accepted and 2 declined); On Hold 2/36 (both pending); rate if offers on Cancelled openings were dropped 22/25 = 88.0%,scripts/metric_spec.py section A,High
Metric spec,Structural checks the spec relies on,0/36 applications with more than one offer; 0/36 offers with no Offered On; 0/31 decided offers with no Decision On; 1/36 offers joins to an application whose Application ID is not unique,scripts/metric_spec.py section A,High
Metric spec,Synthetic edge-case tests,revised offer: 87.1% (27 of 31) with the latest-offer rule vs 84.4% (27 of 32) double counted; renege overwritten to Declined: 80.6% (25 of 31) vs 83.9% when kept as Reneged; a window with 10 decided offers shows Insufficient data,scripts/metric_spec.py section B,High - synthetic rows added to the real 36 offers
Metric spec,Offer acceptance per person instead of per offer,31 decided offers belong to 28 people; 3 people have two decided offers (CAND-00015 and CAND-00035 accepted both; CAND-00019 accepted one and declined one); per person with any acceptance 24/28 = 85.7%; per person by latest offer 23/28 = 82.1%; per offer 83.9%,scripts/metric_spec.py section A; found by the independent second implementation,High - corrects the earlier 24/29 figure which only removed the two repeat-hire offers
Metric spec,Two-engineer test of the spec,round 1: an independent implementation from the section 4 text alone matched every number on the real data and on 11 synthetic tests and reported 14 open points; round 2 after the spec fixes: a fresh independent implementation matched every rate; interval; range and count on 10 cases (13 variants) and reported 10 open points; 2 of those change a displayed count or state in a synthetic case; none changes a rate and none changes anything on today's data,scratchpad/engineer_b_metric.py and scratchpad/engineer_c_metric.py vs scripts/metric_spec.py sections A to C,High
Roadmap,Sizes of the three builds (engineer-weeks),Build 1 around 2 (1.5 to 2.5); Build 2 around 1.5 (1 to 2); Build 3 around 2 (1.5 to 2.5); total 5.5 of 6 with 0.5 buffer,PM estimate - not checked with engineering; ranges are plus or minus half a week,Low - estimate not a measurement
Roadmap,Build 1 records touched,34/37 = 91.9% of referral-signal applications contradict (34/350 = 9.7% of all applications; 10/26 = 38.5% of hires); 50/300 = 16.7% of candidates have more than one application while Source is stored once per candidate; duplicate candidate rows 12/300 = 4.0% (6 people; 3 rows hold a hire); a match on email would catch 0 of the 12,scripts/roadmap_numbers.py Build 1,High
Roadmap,Build 2 records touched,10/36 = 27.8% of offers carry a wrong status: 5 pending offers all open more than 20 days (4 with a decision date) plus 5/5 declined offers whose application still says Offer stage,scripts/roadmap_numbers.py Build 2,High
Roadmap,Build 3 records touched,66/105 = 62.9% of active applications sit on openings that are not Open (Filled 55; On Hold 7; Cancelled 4); idle more than 30 days 102/105 = 97.1%; idle more than 90 days 68/105 = 64.8%; active applications are 105/350 = 30.0% of all applications; 10/24 = 41.7% of openings have a Status or Headcount that disagrees with their hires; 18/18 Position Cancelled rejections are on openings that are not Cancelled,scripts/roadmap_numbers.py Build 3,High
Data quality,Audit checks run and failed per group,"A uniqueness 12 run and 5 failed; B links 16 run and 1 failed; C completeness 13 run and 3 failed; D validity 8 run and 3 failed; E time order 11 run and 7 failed; F cross-table agreement 14 run and 12 failed; G junk records 3 run and 0 failed; total 77 run and 31 failed and 46 clean",counted from output/audit.txt,High
Source scenarios,S2 repeat applications removed - apps / hires,"Job Board 234/7 (3.0%), Referral 12/6, Other 101/12 (11.9%); total 347/25; 3 repeat application rows removed",scripts/source_scenarios.py S2; verified - exact match,Medium
